n_cities,variables,reference_length,reference_method,best_raw_length,best_two_opt_length,median_raw_ratio,best_raw_ratio,median_two_opt_ratio,best_two_opt_ratio,feasible_rate,median_onehot_violation,best_onehot_violation,best_decoded_run_idx,best_qubo_objective
8,64,23.34566509044613,exact,29.29258862452595,23.34566509044613,1.4682655398808695,1.2547335238058184,1.1558340262214692,1.0,0.4583333333333333,1.0,0,14,30.921182256601792
12,144,34.64495898416017,nearest-neighbor all-start + 2-opt,52.667680877924454,34.64495898416016,1.7617820823092396,1.5202119564351153,1.0911997467923844,0.9999999999999998,0.0,10.5,9,7,8341.000053745545
16,256,48.03269112487347,nearest-neighbor all-start + 2-opt,84.52732628689066,48.03269112487347,2.3351855255732317,1.7597874345024702,1.1201158285907349,1.0,0.0,19.0,21,14,59760.020436209605
20,400,59.94806005395213,nearest-neighbor all-start + 2-opt,122.53702189255286,59.94806005395213,2.5837605888859034,2.044053165061085,1.1701312784369269,1.0,0.0,40.5,45,8,138089.38043865855
24,576,71.95193954194387,nearest-neighbor all-start + 2-opt,132.2157559635489,73.85225631753164,2.878350753835524,1.8375565246086891,1.260410534500782,1.0264109180056222,0.0,57.5,65,17,293250.4971382326
