n_cities,variables,run_idx,best_qubo_objective,raw_route_length,two_opt_route_length,raw_ratio_to_reference,two_opt_ratio_to_reference,raw_feasible,onehot_violation,acceptance_rate
8,64,0,30.921182256601792,30.921182256601796,29.362362191880205,1.3244935253207173,1.2577222400014776,True,0,0.11109876543209876
8,64,1,39.315585255203125,39.315585255203125,27.72477403932805,1.684063619643565,1.1875769626573631,True,0,0.11090123456790124
8,64,2,1342.1967628998293,39.867015920326516,29.47839972894528,1.7076838790359203,1.2626926504230922,False,2,0.11123456790123457
8,64,3,688.4598262472172,33.77822424514474,23.34566509044613,1.4468735036796183,1.0,False,1,0.10824691358024692
8,64,4,31.532219184345024,31.53221918434502,28.634433671685738,1.3506669894467525,1.2265417824144131,True,0,0.1097530864197531
8,64,5,692.2448401239504,37.56323812187799,26.983714076308353,1.609002698203282,1.1558340262214692,False,1,0.11117283950617284
8,64,6,689.6719649766915,34.990362974619096,26.95406211572996,1.4987948657302717,1.1545638991780327,False,1,0.11064197530864198
8,64,7,1337.7302110870435,30.95619174741922,24.521382782187025,1.3259931395181193,1.0503612849403052,False,2,0.11251851851851852
8,64,8,30.921182256601792,30.921182256601796,29.362362191880205,1.3244935253207173,1.2577222400014776,True,0,0.11075308641975308
8,64,9,1331.6689028420953,29.97413806180286,23.34566509044613,1.2839273563497378,1.0,False,2,0.11270370370370371
8,64,10,1339.9252217206024,35.054808702048895,28.98559473455546,1.5015553665418837,1.2415835925966996,False,2,0.11124691358024691
8,64,11,688.4598262472172,33.77822424514474,23.34566509044613,1.4468735036796183,1.0,False,1,0.1081358024691358
8,64,12,34.948538407497914,34.948538407497914,23.345665090446133,1.4970033311152096,1.0000000000000002,True,0,0.10946913580246914
8,64,13,37.21909479419814,37.21909479419815,28.98559473455546,1.594261489231657,1.2415835925966996,True,0,0.11083950617283951
8,64,14,38.740836170173054,38.740836170173054,23.34566509044613,1.6594445272851606,1.0,True,0,0.11096296296296296
8,64,15,1337.7302110870435,30.95619174741922,24.521382782187025,1.3259931395181193,1.0503612849403052,False,2,0.11224691358024691
8,64,16,30.921182256601792,30.921182256601796,29.362362191880205,1.3244935253207173,1.2577222400014776,True,0,0.11120987654320988
8,64,17,692.2448401239504,37.56323812187799,26.983714076308353,1.609002698203282,1.1558340262214692,False,1,0.11146913580246913
8,64,18,689.6719649766915,34.990362974619096,26.95406211572996,1.4987948657302717,1.1545638991780327,False,1,0.11020987654320988
8,64,19,1337.7302110870435,30.95619174741922,24.521382782187025,1.3259931395181193,1.0503612849403052,False,2,0.11248148148148149
8,64,20,30.921182256601792,30.921182256601796,29.362362191880205,1.3244935253207173,1.2577222400014776,True,0,0.11096296296296296
8,64,21,39.315585255203125,39.315585255203125,27.72477403932805,1.684063619643565,1.1875769626573631,True,0,0.11225925925925925
8,64,22,1343.8268329943928,29.29258862452595,23.34566509044613,1.2547335238058184,1.0,False,2,0.11139506172839506
8,64,23,34.77704687065897,34.77704687065897,29.531365306657626,1.489657576082121,1.2649614047081874,True,0,0.10812345679012346
12,144,0,13852.387050896716,56.590016980188146,35.82445915269143,1.6334271605303778,1.0340453619549828,False,10,0.12393827160493827
12,144,1,15244.22063296421,65.34293473344917,44.3892429402094,1.8860733754461725,1.281261235162794,False,11,0.13033333333333333
