problem,run_idx,best_objective,final_objective,acceptance_rate,early_acceptance_rate,late_acceptance_rate,decoded_quality,decoded_feasible
maxcut,0,-47.0,-47.0,0.013305555555555555,0.013194444444444444,0.013333333333333334,47.0,True
maxcut,1,-47.0,-47.0,0.01,0.01,0.01,47.0,True
maxcut,2,-47.0,-47.0,0.0023888888888888887,0.0030555555555555557,0.0022222222222222222,47.0,True
maxcut,3,-47.0,-46.0,0.022416666666666668,0.023194444444444445,0.022222222222222223,47.0,True
maxcut,4,-47.0,-47.0,0.011361111111111112,0.012361111111111111,0.011111111111111112,47.0,True
maxcut,5,-47.0,-47.0,0.009083333333333334,0.00986111111111111,0.008888888888888889,47.0,True
maxcut,6,-47.0,-47.0,0.010194444444444445,0.010972222222222222,0.01,47.0,True
maxcut,7,-47.0,-47.0,0.022333333333333334,0.02277777777777778,0.022222222222222223,47.0,True
maxcut,8,-47.0,-47.0,0.002277777777777778,0.0025,0.0022222222222222222,47.0,True
maxcut,9,-47.0,-47.0,0.016833333333333332,0.0175,0.016666666666666666,47.0,True
maxcut,10,-47.0,-47.0,0.002416666666666667,0.0031944444444444446,0.0022222222222222222,47.0,True
maxcut,11,-47.0,-47.0,0.010305555555555556,0.011527777777777777,0.01,47.0,True
maxcut,12,-47.0,-47.0,0.0027222222222222222,0.004722222222222222,0.0022222222222222222,47.0,True
maxcut,13,-47.0,-46.0,0.022305555555555554,0.02263888888888889,0.022222222222222223,47.0,True
maxcut,14,-47.0,-47.0,0.024444444444444446,0.024444444444444446,0.024444444444444446,47.0,True
maxcut,15,-47.0,-46.0,0.020027777777777776,0.02013888888888889,0.02,47.0,True
maxcut,16,-47.0,-47.0,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,47.0,True
maxcut,17,-47.0,-47.0,0.0077777777777777776,0.0077777777777777776,0.0077777777777777776,47.0,True
maxcut,18,-47.0,-46.0,0.014444444444444444,0.014444444444444444,0.014444444444444444,47.0,True
maxcut,19,-47.0,-47.0,0.0057777777777777775,0.006666666666666667,0.005555555555555556,47.0,True
maxcut,20,-47.0,-47.0,0.013555555555555555,0.014444444444444444,0.013333333333333334,47.0,True
maxcut,21,-47.0,-47.0,0.010472222222222223,0.012361111111111111,0.01,47.0,True
maxcut,22,-47.0,-47.0,0.002472222222222222,0.003472222222222222,0.0022222222222222222,47.0,True
maxcut,23,-47.0,-47.0,0.01011111111111111,0.010555555555555556,0.01,47.0,True
maxcut,24,-47.0,-47.0,0.024583333333333332,0.025138888888888888,0.024444444444444446,47.0,True
maxcut,25,-47.0,-47.0,0.009055555555555556,0.009722222222222222,0.008888888888888889,47.0,True
maxcut,26,-47.0,-47.0,0.02688888888888889,0.027777777777777776,0.02666666666666667,47.0,True
maxcut,27,-47.0,-47.0,0.006888888888888889,0.0077777777777777776,0.006666666666666667,47.0,True
maxcut,28,-47.0,-47.0,0.014666666666666666,0.015555555555555555,0.014444444444444444,47.0,True
maxcut,29,-47.0,-47.0,0.01672222222222222,0.016944444444444446,0.016666666666666666,47.0,True
maxcut,30,-47.0,-47.0,0.025777777777777778,0.02666666666666667,0.025555555555555557,47.0,True
maxcut,31,-47.0,-47.0,0.01672222222222222,0.016944444444444446,0.016666666666666666,47.0,True
maxcut,32,-47.0,-47.0,0.002611111111111111,0.004166666666666667,0.0022222222222222222,47.0,True
maxcut,33,-47.0,-47.0,0.008888888888888889,0.008888888888888889,0.008888888888888889,47.0,True
maxcut,34,-47.0,-47.0,0.011083333333333334,0.010972222222222222,0.011111111111111112,47.0,True
maxcut,35,-47.0,-47.0,0.007916666666666667,0.008472222222222223,0.0077777777777777776,47.0,True
maxcut,36,-47.0,-47.0,0.02688888888888889,0.027777777777777776,0.02666666666666667,47.0,True
maxcut,37,-47.0,-47.0,0.006833333333333334,0.0075,0.006666666666666667,47.0,True
maxcut,38,-47.0,-47.0,0.014611111111111111,0.015277777777777777,0.014444444444444444,47.0,True
maxcut,39,-47.0,-46.0,0.016805555555555556,0.017361111111111112,0.016666666666666666,47.0,True
maxcut,40,-47.0,-47.0,0.013444444444444445,0.013888888888888888,0.013333333333333334,47.0,True
maxcut,41,-47.0,-47.0,0.016777777777777777,0.017222222222222222,0.016666666666666666,47.0,True
maxcut,42,-47.0,-47.0,0.0023888888888888887,0.0030555555555555557,0.0022222222222222222,47.0,True
maxcut,43,-47.0,-47.0,0.02238888888888889,0.023055555555555555,0.022222222222222223,47.0,True
maxcut,44,-47.0,-47.0,0.011333333333333334,0.012222222222222223,0.011111111111111112,47.0,True
maxcut,45,-47.0,-47.0,0.020166666666666666,0.020833333333333332,0.02,47.0,True
maxcut,46,-47.0,-47.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,47.0,True
maxcut,47,-47.0,-47.0,0.02227777777777778,0.0225,0.022222222222222223,47.0,True
maxcut,48,-47.0,-47.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,47.0,True
maxcut,49,-47.0,-46.0,0.01675,0.017083333333333332,0.016666666666666666,47.0,True
portfolio,0,-0.5059296000000053,-0.448160000000005,0.05759259259259259,0.056851851851851855,0.057777777777777775,0.43000000000000005,True
portfolio,1,-0.5018016000000038,-0.46318720000000013,0.06011111111111111,0.06055555555555556,0.06,0.48,True
portfolio,2,-0.5022143999999997,-0.4076256000000029,0.059037037037037034,0.05962962962962963,0.058888888888888886,0.45999999999999996,True
portfolio,3,-0.5059296000000053,2.4524575999999954,0.05688888888888889,0.057777777777777775,0.056666666666666664,0.43000000000000005,True
portfolio,4,-0.4921024000000003,-0.48268959999999694,0.05781481481481481,0.057962962962962966,0.057777777777777775,0.41000000000000003,True
portfolio,5,-0.5022143999999997,-0.4449727999999986,0.0632962962962963,0.06314814814814815,0.06333333333333334,0.45999999999999996,True
portfolio,6,-0.5059296000000053,-0.43840000000000146,0.06011111111111111,0.06055555555555556,0.06,0.43000000000000005,True
portfolio,7,-0.4921024000000003,-0.46656000000000475,0.05996296296296296,0.059814814814814814,0.06,0.41000000000000003,True
portfolio,8,-0.5059296000000053,-0.47590720000000175,0.05792592592592593,0.05851851851851852,0.057777777777777775,0.43000000000000005,True
portfolio,9,-0.5018016000000038,-0.40558559999999844,0.06025925925925926,0.06129629629629629,0.06,0.48,True
portfolio,10,-0.5022143999999997,-0.46656000000000475,0.0592962962962963,0.060925925925925925,0.058888888888888886,0.45999999999999996,True
portfolio,11,-0.5059296000000053,-0.4228496000000028,0.05688888888888889,0.057777777777777775,0.056666666666666664,0.43000000000000005,True
portfolio,12,-0.4921024000000003,-0.407590399999993,0.05774074074074074,0.05759259259259259,0.057777777777777775,0.41000000000000003,True
portfolio,13,-0.5022143999999997,-0.34946880000000036,0.06351851851851852,0.06425925925925927,0.06333333333333334,0.45999999999999996,True
portfolio,14,-0.5059296000000053,-0.483193600000007,0.05988888888888889,0.059444444444444446,0.06,0.43000000000000005,True
portfolio,15,-0.4921024000000003,-0.4228496000000028,0.060037037037037035,0.06018518518518518,0.06,0.41000000000000003,True
portfolio,16,-0.5059296000000053,-0.4788480000000064,0.05774074074074074,0.05759259259259259,0.057777777777777775,0.43000000000000005,True
portfolio,17,-0.5022143999999997,-0.34946880000000036,0.06344444444444444,0.06388888888888888,0.06333333333333334,0.45999999999999996,True
portfolio,18,-0.5059296000000053,-0.4332160000000016,0.060037037037037035,0.06018518518518518,0.06,0.43000000000000005,True
portfolio,19,-0.4921024000000003,-0.46396800000000127,0.060148148148148145,0.06074074074074074,0.06,0.41000000000000003,True
portfolio,20,-0.5059296000000053,-0.4332160000000016,0.05792592592592593,0.05851851851851852,0.057777777777777775,0.43000000000000005,True
portfolio,21,-0.5018016000000038,2.4617503999999997,0.059925925925925924,0.05962962962962963,0.06,0.48,True
portfolio,22,-0.5022143999999997,2.433099200000001,0.059037037037037034,0.05962962962962963,0.058888888888888886,0.45999999999999996,True
portfolio,23,-0.5059296000000053,2.437891200000003,0.05692592592592593,0.057962962962962966,0.056666666666666664,0.43000000000000005,True
portfolio,24,-0.4921024000000003,-0.4228496000000028,0.057888888888888886,0.058333333333333334,0.057777777777777775,0.41000000000000003,True
portfolio,25,-0.5022143999999997,-0.4332160000000016,0.06362962962962963,0.06481481481481481,0.06333333333333334,0.45999999999999996,True
portfolio,26,-0.5059296000000053,-0.46318720000000013,0.06048148148148148,0.062407407407407404,0.06,0.43000000000000005,True
portfolio,27,-0.4921024000000003,-0.4228496000000028,0.060444444444444446,0.06222222222222222,0.06,0.41000000000000003,True
portfolio,28,-0.5059296000000053,-0.448160000000005,0.05811111111111111,0.059444444444444446,0.057777777777777775,0.43000000000000005,True
portfolio,29,-0.5018016000000038,-0.4921024000000003,0.06018518518518518,0.060925925925925925,0.06,0.48,True
portfolio,30,-0.5022143999999997,-0.4788480000000064,0.058777777777777776,0.058333333333333334,0.058888888888888886,0.45999999999999996,True
portfolio,31,-0.5059296000000053,-0.4076256000000029,0.056851851851851855,0.05759259259259259,0.056666666666666664,0.43000000000000005,True
portfolio,32,-0.4921024000000003,-0.448160000000005,0.05774074074074074,0.05759259259259259,0.057777777777777775,0.41000000000000003,True
portfolio,33,-0.5022143999999997,-0.44834399999999874,0.06337037037037037,0.06351851851851852,0.06333333333333334,0.45999999999999996,True
portfolio,34,-0.5022143999999997,-0.48268959999999694,0.05885185185185185,0.0587037037037037,0.058888888888888886,0.45999999999999996,True
portfolio,35,-0.5059296000000053,-0.47590720000000175,0.05659259259259259,0.056296296296296296,0.056666666666666664,0.43000000000000005,True
portfolio,36,-0.4921024000000003,-0.37774399999999986,0.05792592592592593,0.05851851851851852,0.057777777777777775,0.41000000000000003,True
portfolio,37,-0.5022143999999997,2.469292800000005,0.06362962962962963,0.06481481481481481,0.06333333333333334,0.45999999999999996,True
portfolio,38,-0.5059296000000053,-0.5059296000000053,0.060222222222222226,0.06111111111111111,0.06,0.43000000000000005,True
portfolio,39,-0.5022143999999997,2.4752095999999923,0.060222222222222226,0.06111111111111111,0.06,0.45999999999999996,True
portfolio,40,-0.5059296000000053,-0.4215967999999961,0.057777777777777775,0.057777777777777775,0.057777777777777775,0.43000000000000005,True
portfolio,41,-0.5018016000000038,-0.448160000000005,0.060148148148148145,0.06074074074074074,0.06,0.48,True
portfolio,42,-0.5022143999999997,-0.46656000000000475,0.05925925925925926,0.06074074074074074,0.058888888888888886,0.45999999999999996,True
portfolio,43,-0.5059296000000053,-0.4332160000000016,0.05714814814814815,0.05907407407407408,0.056666666666666664,0.43000000000000005,True
portfolio,44,-0.4921024000000003,-0.448160000000005,0.058,0.058888888888888886,0.057777777777777775,0.41000000000000003,True
portfolio,45,-0.5022143999999997,-0.4332160000000016,0.0632962962962963,0.06314814814814815,0.06333333333333334,0.45999999999999996,True
portfolio,46,-0.5059296000000053,-0.483193600000007,0.05996296296296296,0.059814814814814814,0.06,0.43000000000000005,True
portfolio,47,-0.4921024000000003,-0.44834399999999874,0.06018518518518518,0.060925925925925925,0.06,0.41000000000000003,True
portfolio,48,-0.5059296000000053,-0.46396800000000127,0.057666666666666665,0.05722222222222222,0.057777777777777775,0.43000000000000005,True
portfolio,49,-0.5018016000000038,-0.40558559999999844,0.06011111111111111,0.06055555555555556,0.06,0.48,True
