time,good_ai,raw_bad_ai_interp,fitted_bad_ai_interp,raw_residual,fitted_residual
0.123376078903675,-0.0506247244775295,-0.07059537246368298,-0.06427198505599332,-0.019970647986153486,-0.013647260578463827
0.248879611492157,-0.0515309199690819,-0.06853943497276271,-0.06284821970012339,-0.017008515003680814,-0.011317299731041487
0.374391704797745,-0.0523854643106461,-0.07203823458476931,-0.06083340591634717,-0.01965277027412321,-0.008447941605701073
0.499899059534073,-0.0530163682997227,-0.07905528065386547,-0.060330276002751655,-0.026038912354142768,-0.007313907703028956
0.625433087348938,-0.0534702576696873,-0.08275720782672746,-0.05965390179925435,-0.029286950157040165,-0.0061836441295670536
0.750934720039368,-0.054201278835535,-0.08021623657739779,-0.06015562119431343,-0.02601495774186279,-0.005954342358778432
0.87643826007843,-0.0546090975403786,-0.07755376921542738,-0.06099607324091577,-0.02294467167504878,-0.006386975700537173
1.00195038318634,-0.0547035224735737,-0.07667576310616812,-0.06218464272033845,-0.021972240632594425,-0.007481120246764748
1.12747585773468,-0.0548467040061951,-0.07469691924522272,-0.06161415715930944,-0.019850215239027615,-0.00676745315311434
1.25300025939941,-0.0550645925104618,-0.07489014422789343,-0.06138539704701966,-0.019825551717431632,-0.00632080453655786
1.37849044799805,-0.055383425205946,-0.0743868453320978,-0.062205814892769204,-0.019003420126151797,-0.006822389686823201
1.50401973724365,-0.0552557483315468,-0.07199909092830149,-0.06179515604402471,-0.016743342596754696,-0.006539407712477914
1.6295166015625,-0.0554562099277973,-0.07280004907680956,-0.06190935332765445,-0.017343839149012268,-0.006453143399857156
1.75501441955566,-0.0555239282548428,-0.07346464608415854,-0.06202663646402934,-0.017940717829315736,-0.006502708209186539
1.88052558898926,-0.055674109607935,-0.07081151750718338,-0.06269949901070497,-0.015137407899248383,-0.00702538940276997
2.00601863861084,-0.0558897107839584,-0.0747568208854935,-0.06245744371383669,-0.0188671101015351,-0.006567732929878292
2.13151454925537,-0.0560373440384865,-0.07583940764383298,-0.06218548033018559,-0.019802063605346483,-0.006148136291699087
2.25703811645508,-0.0561188571155071,-0.0799491637051046,-0.06235480198812388,-0.023830306589597505,-0.006235944872616785
2.38254451751709,-0.0561779364943504,-0.08099611466799707,-0.0640064273175256,-0.02481817817364667,-0.007828490823175195
2.50806522369385,-0.0562610365450382,-0.07916351633734905,-0.0629864363128854,-0.022902479792310852,-0.0067253997678472024
2.63360214233398,-0.056248351931572,-0.0824335394948448,-0.06248575282215739,-0.026185187563272802,-0.006237400890585387
2.75911140441895,-0.0569881461560726,-0.08261889201952158,-0.06011727953852404,-0.025630745863448975,-0.003129133382451438
2.8846127986908,-0.0570126175880432,-0.08295241971001391,-0.060787509614499524,-0.02593980212197071,-0.003774892026456325
3.01010584831238,-0.0573120638728142,-0.08355337097457648,-0.060383713378471524,-0.026241307101762278,-0.0030716495056573243
3.13562273979187,-0.0574918612837791,-0.08399684848082688,-0.06017095005290079,-0.026504987197047775,-0.002679088769121686
3.26112055778503,-0.0576255284249783,-0.08442234336931338,-0.06036566930921345,-0.026796814944335084,-0.0027401408842351524
3.38664031028748,-0.0575842075049877,-0.0832197379534028,-0.060392747324635385,-0.0256355304484151,-0.002808539819647682
3.51214098930359,-0.0576595887541771,-0.08410500693344841,-0.06083575215375504,-0.02644541817927131,-0.003176163399577943
3.63765692710876,-0.0577381476759911,-0.08339255378709075,-0.05990436785467975,-0.025654406111099648,-0.0021662201786886506
3.76317191123962,-0.0579259321093559,-0.08172328466989344,-0.05980490426008504,-0.02379735256053754,-0.001878972150729144
3.88869071006775,-0.0579296983778477,-0.08116178545317988,-0.059810041751740074,-0.023232087075332183,-0.001880343373892375
4.01422643661499,-0.0578535571694374,-0.07585341757075323,-0.05976132725408094,-0.017999860401315827,-0.0019077700846435383
4.13973569869995,-0.0579362623393536,-0.06786591616737471,-0.05971001547056721,-0.009929653828021107,-0.0017737531312136054
4.26525259017944,-0.0575885772705078,-0.06695002418784479,-0.05945237590614736,-0.009361446917336994,-0.0018637986356395617
4.39074945449829,-0.0578534007072449,-0.06806646152972465,-0.059493918041821955,-0.010213060822479747,-0.0016405173345770546
4.51627206802368,-0.0589367263019085,-0.06630584542615903,-0.05947106163899897,-0.007369119124250527,-0.0005343353370904705
4.64181661605835,-0.0589610673487186,-0.07966652493193613,-0.05937150171833082,-0.020705457583217526,-0.000410434369612217
4.76729822158813,-0.0582663975656033,-0.08136657461921494,-0.059637088165248466,-0.023100177053611642,-0.0013706905996451677
4.89281606674194,-0.0582590512931347,-0.06624826213532543,-0.05936358893048594,-0.00798921084219073,-0.001104537637351237
5.01832818984985,-0.0580017529428005,-0.06321654914598308,-0.059042842856222376,-0.005214796203182583,-0.0010410899134218748
5.14383840560913,-0.0582646541297436,-0.058750190872942844,-0.0595612107300535,-0.0004855367431992469,-0.0012965566003099033
5.26933336257935,-0.0574807673692703,-0.06631229949844591,-0.05982043821266034,-0.008831532129175618,-0.0023396708433900404
5.39485502243042,-0.0576563328504562,-0.05913318002137996,-0.060245472501017514,-0.0014768471709237577,-0.0025891396505613104
5.520348072052,-0.0571118518710136,-0.06275686138358436,-0.06000787129075171,-0.005645009512570756,-0.002896019419738112
5.64585065841675,-0.0573790781199932,-0.062209949919705375,-0.06145152222796372,-0.004830871799712172,-0.004072444107970516
5.77135705947876,-0.0573886595666409,-0.07698887324807238,-0.06180180046256344,-0.01960021368143148,-0.0044131408959225404
5.89686632156372,-0.0585082210600376,-0.08403854753818091,-0.06376121605365215,-0.02553032647814331,-0.005252994993614549
6.02239847183228,-0.0574332363903522,-0.06659225170109793,-0.06385236440275366,-0.009159015310745734,-0.006419128012401458
6.14790105819702,-0.0583757907152176,-0.06039908206637511,-0.06436748247018516,-0.0020232913511575093,-0.005991691754967561
6.27341413497925,-0.0580960065126419,-0.05764192195009933,-0.06410539829363764,0.0004540845625425685,-0.006009391780995736
6.39891481399536,-0.0588151514530182,-0.061099637591541946,-0.06392975847890109,-0.0022844861385237433,-0.005114607025882886
6.5244460105896,-0.0603209137916565,-0.061637057258777196,-0.06427440428351625,-0.001316143467120695,-0.003953490491859744
6.64998769760132,-0.059614859521389,-0.062088575156653066,-0.06256448411419398,-0.002473715635264065,-0.0029496245928049766
6.77548933029175,-0.0587590895593166,-0.06176183746739691,-0.060414513197249914,-0.0030027479080803124,-0.0016554236379333134
6.90099954605103,-0.0586879588663578,-0.056287436565017966,-0.06020086203690543,0.002400522301339837,-0.0015129031705476276
