dataset,run_idx,best_energy,final_energy,energy_gap_to_optimum,hit_optimum,acceptance_rate,early_acceptance_rate,late_acceptance_rate
good,0,-58.0,-58.0,0.0,True,0.047619047619047616,0.07738095238095238,0.005952380952380952
good,1,-58.0,-58.0,0.0,True,0.09285714285714286,0.19047619047619047,0.005952380952380952
good,2,-58.0,-58.0,0.0,True,0.09166666666666666,0.17261904761904762,0.023809523809523808
good,3,-56.0,-56.0,2.0,False,0.07857142857142857,0.17261904761904762,0.011904761904761904
good,4,-58.0,-58.0,0.0,True,0.10357142857142858,0.22023809523809523,0.011904761904761904
good,5,-56.0,-56.0,2.0,False,0.0761904761904762,0.23214285714285715,0.0
good,6,-58.0,-56.0,0.0,True,0.08571428571428572,0.13095238095238096,0.005952380952380952
good,7,-56.0,-56.0,2.0,False,0.055952380952380955,0.125,0.011904761904761904
good,8,-58.0,-58.0,0.0,True,0.07976190476190476,0.18452380952380953,0.0
good,9,-58.0,-58.0,0.0,True,0.08452380952380953,0.08928571428571429,0.005952380952380952
good,10,-58.0,-54.0,0.0,True,0.08928571428571429,0.13095238095238096,0.0
good,11,-52.0,-50.0,6.0,False,0.12142857142857143,0.19047619047619047,0.0
good,12,-58.0,-58.0,0.0,True,0.09404761904761905,0.19047619047619047,0.011904761904761904
good,13,-58.0,-58.0,0.0,True,0.09166666666666666,0.16666666666666666,0.0
good,14,-58.0,-56.0,0.0,True,0.10952380952380952,0.23809523809523808,0.0
good,15,-58.0,-58.0,0.0,True,0.07976190476190476,0.1488095238095238,0.0
good,16,-58.0,-56.0,0.0,True,0.09523809523809523,0.21428571428571427,0.0
good,17,-50.0,-50.0,8.0,False,0.08452380952380953,0.13095238095238096,0.0
good,18,-58.0,-54.0,0.0,True,0.10714285714285714,0.20238095238095238,0.023809523809523808
good,19,-58.0,-58.0,0.0,True,0.10476190476190476,0.23809523809523808,0.005952380952380952
good,20,-58.0,-56.0,0.0,True,0.07261904761904762,0.16071428571428573,0.011904761904761904
good,21,-58.0,-58.0,0.0,True,0.10714285714285714,0.23809523809523808,0.023809523809523808
good,22,-58.0,-56.0,0.0,True,0.09404761904761905,0.18452380952380953,0.023809523809523808
good,23,-52.0,-50.0,6.0,False,0.10238095238095238,0.25595238095238093,0.017857142857142856
good,24,-58.0,-58.0,0.0,True,0.09285714285714286,0.11904761904761904,0.011904761904761904
good,25,-58.0,-50.0,0.0,True,0.10357142857142858,0.18452380952380953,0.0
good,26,-58.0,-58.0,0.0,True,0.06547619047619048,0.15476190476190477,0.011904761904761904
good,27,-58.0,-52.0,0.0,True,0.09285714285714286,0.13690476190476192,0.0
good,28,-58.0,-56.0,0.0,True,0.0630952380952381,0.13690476190476192,0.0
good,29,-58.0,-58.0,0.0,True,0.0988095238095238,0.21428571428571427,0.0
good,30,-58.0,-58.0,0.0,True,0.08333333333333333,0.1488095238095238,0.011904761904761904
good,31,-56.0,-50.0,2.0,False,0.0761904761904762,0.15476190476190477,0.0
good,32,-58.0,-58.0,0.0,True,0.08333333333333333,0.16071428571428573,0.0
good,33,-58.0,-58.0,0.0,True,0.08928571428571429,0.13690476190476192,0.0
good,34,-58.0,-56.0,0.0,True,0.08571428571428572,0.22023809523809523,0.0
good,35,-58.0,-58.0,0.0,True,0.0869047619047619,0.17857142857142858,0.0
good,36,-58.0,-56.0,0.0,True,0.06428571428571428,0.19047619047619047,0.0
good,37,-58.0,-58.0,0.0,True,0.09523809523809523,0.27976190476190477,0.005952380952380952
good,38,-58.0,-58.0,0.0,True,0.0880952380952381,0.14285714285714285,0.011904761904761904
good,39,-58.0,-50.0,0.0,True,0.10119047619047619,0.18452380952380953,0.017857142857142856
bad,0,-58.0,-56.0,0.0,True,0.09166666666666666,0.10119047619047619,0.047619047619047616
bad,1,-58.0,-50.0,0.0,True,0.09642857142857143,0.13690476190476192,0.023809523809523808
bad,2,-58.0,-56.0,0.0,True,0.09761904761904762,0.17261904761904762,0.047619047619047616
bad,3,-58.0,-48.0,0.0,True,0.10595238095238095,0.20238095238095238,0.03571428571428571
bad,4,-58.0,-56.0,0.0,True,0.08452380952380953,0.21428571428571427,0.05357142857142857
bad,5,-54.0,-50.0,4.0,False,0.12976190476190477,0.22023809523809523,0.05357142857142857
bad,6,-58.0,-58.0,0.0,True,0.09404761904761905,0.16071428571428573,0.09523809523809523
bad,7,-58.0,-52.0,0.0,True,0.1,0.13690476190476192,0.0
bad,8,-58.0,-58.0,0.0,True,0.09166666666666666,0.19642857142857142,0.05357142857142857
bad,9,-58.0,-46.0,0.0,True,0.14166666666666666,0.19642857142857142,0.09523809523809523
bad,10,-58.0,-56.0,0.0,True,0.09642857142857143,0.19642857142857142,0.023809523809523808
bad,11,-58.0,-50.0,0.0,True,0.10238095238095238,0.13095238095238096,0.02976190476190476
bad,12,-58.0,-58.0,0.0,True,0.09642857142857143,0.19047619047619047,0.03571428571428571
bad,13,-58.0,-42.0,0.0,True,0.0988095238095238,0.125,0.03571428571428571
bad,14,-58.0,-56.0,0.0,True,0.0880952380952381,0.20238095238095238,0.017857142857142856
bad,15,-58.0,-38.0,0.0,True,0.1130952380952381,0.125,0.08928571428571429
bad,16,-58.0,-58.0,0.0,True,0.075,0.16071428571428573,0.047619047619047616
bad,17,-56.0,-50.0,2.0,False,0.09404761904761905,0.17857142857142858,0.023809523809523808
bad,18,-58.0,-56.0,0.0,True,0.10119047619047619,0.21428571428571427,0.011904761904761904
bad,19,-58.0,-50.0,0.0,True,0.10952380952380952,0.125,0.011904761904761904
bad,20,-58.0,-56.0,0.0,True,0.075,0.10119047619047619,0.047619047619047616
bad,21,-58.0,-50.0,0.0,True,0.13214285714285715,0.21428571428571427,0.041666666666666664
bad,22,-58.0,-58.0,0.0,True,0.0880952380952381,0.16071428571428573,0.07738095238095238
bad,23,-58.0,-42.0,0.0,True,0.12023809523809524,0.16666666666666666,0.10714285714285714
bad,24,-58.0,-56.0,0.0,True,0.10595238095238095,0.25,0.07142857142857142
bad,25,-58.0,-52.0,0.0,True,0.11666666666666667,0.16666666666666666,0.041666666666666664
bad,26,-58.0,-58.0,0.0,True,0.08928571428571429,0.17261904761904762,0.02976190476190476
bad,27,-58.0,-50.0,0.0,True,0.12976190476190477,0.14285714285714285,0.1130952380952381
bad,28,-58.0,-58.0,0.0,True,0.11547619047619048,0.25,0.05357142857142857
bad,29,-58.0,-38.0,0.0,True,0.10119047619047619,0.15476190476190477,0.07142857142857142
bad,30,-58.0,-58.0,0.0,True,0.0988095238095238,0.13690476190476192,0.023809523809523808
bad,31,-58.0,-50.0,0.0,True,0.11666666666666667,0.17261904761904762,0.07142857142857142
bad,32,-58.0,-58.0,0.0,True,0.0880952380952381,0.16071428571428573,0.005952380952380952
bad,33,-58.0,-46.0,0.0,True,0.09285714285714286,0.11904761904761904,0.041666666666666664
bad,34,-58.0,-58.0,0.0,True,0.07976190476190476,0.17857142857142858,0.023809523809523808
bad,35,-58.0,-50.0,0.0,True,0.10476190476190476,0.13095238095238096,0.047619047619047616
bad,36,-58.0,-56.0,0.0,True,0.09404761904761905,0.19642857142857142,0.03571428571428571
bad,37,-56.0,-50.0,2.0,False,0.11785714285714285,0.14285714285714285,0.047619047619047616
bad,38,-58.0,-56.0,0.0,True,0.09047619047619047,0.18452380952380953,0.023809523809523808
bad,39,-58.0,-48.0,0.0,True,0.10833333333333334,0.15476190476190477,0.041666666666666664
