dataset,k,bic,log_likelihood
selected_curve,1,-29217.9037106811,14617.26962150727
selected_curve,2,-33732.33754193763,16886.963186385616
selected_curve,3,-34159.149255561795,17112.845692447776
selected_curve,4,-34139.48356086085,17115.48949434738
selected_curve,5,-34292.71266630691,17204.58069632049
selected_curve,6,-34307.09799691466,17224.250010874443
selected_curve,7,-34283.21765278454,17224.78648805946
selected_curve,8,-34265.962652151065,17228.635636992803
