dataset,state,start_time,end_time,duration,start_index,end_index
selected_curve,4,269.97,271.35,1.3799999999999955,2150,2160
selected_curve,5,271.35,281.01,9.659999999999968,2161,2237
selected_curve,1,281.01,283.77,2.759999999999991,2238,2259
selected_curve,2,283.77,285.53,1.759999999999991,2260,2273
selected_curve,3,285.53,288.92,3.390000000000043,2274,2300
selected_curve,2,288.92,289.04,0.12599999999999767,2301,2301
selected_curve,3,289.04,302.85,13.810000000000002,2302,2411
selected_curve,4,302.85,306.36,3.509999999999991,2412,2439
selected_curve,5,306.36,310.26,3.8999999999999773,2440,2470
selected_curve,3,310.26,311.13,0.8700000000000045,2471,2477
selected_curve,2,311.13,325.82,14.689999999999998,2478,2594
selected_curve,3,325.82,329.96,4.139999999999986,2595,2627
selected_curve,4,329.96,338.75,8.79000000000002,2628,2697
selected_curve,5,338.75,343.14,4.389999999999986,2698,2732
selected_curve,4,343.14,351.42,8.28000000000003,2733,2798
selected_curve,5,351.42,371.38,19.95999999999998,2799,2957
selected_curve,1,371.38,372.01,0.6299999999999955,2958,2962
selected_curve,3,372.01,372.26,0.25,2963,2964
selected_curve,4,372.26,372.63,0.37000000000000455,2965,2967
selected_curve,3,372.63,373.14,0.5099999999999909,2968,2971
selected_curve,1,373.14,374.01,0.8700000000000045,2972,2978
selected_curve,2,374.01,374.26,0.25,2979,2980
selected_curve,3,374.26,375.14,0.8799999999999955,2981,2987
selected_curve,1,375.14,375.52,0.37999999999999545,2988,2990
selected_curve,2,375.52,381.8,6.28000000000003,2991,3040
selected_curve,1,381.8,384.05,2.25,3041,3058
selected_curve,2,384.05,406.39,22.339999999999975,3059,3236
selected_curve,3,406.39,411.29,4.900000000000034,3237,3275
selected_curve,2,411.29,413.3,2.009999999999991,3276,3291
selected_curve,1,413.3,413.8,0.5,3292,3295
selected_curve,2,413.8,417.94,4.139999999999986,3296,3328
selected_curve,3,417.94,432.38,14.439999999999998,3329,3443
