n_states,pbit_dims,dataset,instances,instance_wins,mean_instance_gap,mean_instance_hit_rate,mean_instance_best_energy,mean_instance_acceptance,state_entropy_bits,transition_count
4,2,good,8,2,1.625,0.7250000000000001,-47.375,0.07671130952380953,1.8179259724631596,127
4,2,bad,8,6,1.1,0.7875000000000001,-47.9,0.09826636904761904,1.5363589746280923,156
6,3,good,8,4,0.6625000000000001,0.875,-48.3375,0.11773809523809524,2.407127004180004,167
6,3,bad,8,4,0.7,0.8625,-48.3,0.09905753968253968,1.8467012648029693,177
8,3,good,8,4,0.6,0.9125000000000001,-48.400000000000006,0.11170634920634921,2.666807674750939,161
8,3,bad,8,4,0.275,0.95,-48.724999999999994,0.13484623015873015,2.4762662147569774,242
