n_states,pbit_dims,dataset,instance,kind,n_spins,density,exact_optimum,state_entropy_bits,transition_count,runs,mean_best_energy,std_best_energy,best_energy_seen,mean_energy_gap,median_energy_gap,max_energy_gap,optimum_hit_rate,mean_acceptance_rate,mean_early_acceptance,mean_late_acceptance
6,3,good,spin_glass_sparse_16,spin_glass,16,0.22,-42.0,2.407127004180004,167,20,-41.6,0.7999999999999999,-42.0,0.4,0.0,2.0,0.8,0.1870634920634921,0.2767857142857143,0.06607142857142857
6,3,bad,spin_glass_sparse_16,spin_glass,16,0.22,-42.0,1.8467012648029693,177,20,-41.1,1.1789826122551597,-42.0,0.9,0.0,4.0,0.6,0.14067460317460317,0.19940476190476192,0.10734126984126983
6,3,good,spin_glass_dense_16,spin_glass,16,0.45,-68.0,2.407127004180004,167,20,-68.0,0.0,-68.0,0.0,0.0,0.0,1.0,0.06956349206349208,0.13273809523809527,0.014087301587301588
6,3,bad,spin_glass_dense_16,spin_glass,16,0.45,-68.0,1.8467012648029693,177,20,-66.6,3.352610922848042,-68.0,1.4,0.0,10.0,0.85,0.06865079365079364,0.10932539682539684,0.04503968253968254
6,3,good,max_cut_14,max_cut,14,0.35,-59.0,2.407127004180004,167,20,-59.0,0.0,-59.0,0.0,0.0,0.0,1.0,0.06658730158730157,0.14464285714285713,0.008333333333333333
6,3,bad,max_cut_14,max_cut,14,0.35,-59.0,1.8467012648029693,177,20,-59.0,0.0,-59.0,0.0,0.0,0.0,1.0,0.06793650793650793,0.10892857142857142,0.04583333333333332
6,3,good,max_cut_16,max_cut,16,0.3,-67.0,2.407127004180004,167,20,-66.7,1.3076696830622019,-67.0,0.3,0.0,6.0,0.95,0.09698412698412699,0.1529761904761905,0.06388888888888888
6,3,bad,max_cut_16,max_cut,16,0.3,-67.0,1.8467012648029693,177,20,-66.4,1.7999999999999998,-67.0,0.6,0.0,6.0,0.9,0.07964285714285715,0.1363095238095238,0.05198412698412698
8,3,good,spin_glass_sparse_12,spin_glass,12,0.28,-33.0,2.666807674750939,161,20,-33.0,0.0,-33.0,0.0,0.0,0.0,1.0,0.09142857142857144,0.16150793650793652,0.022420634920634917
8,3,bad,spin_glass_sparse_12,spin_glass,12,0.28,-33.0,2.4762662147569774,242,20,-33.0,0.0,-33.0,0.0,0.0,0.0,1.0,0.11587301587301588,0.15218253968253967,0.04444444444444444
8,3,good,spin_glass_dense_12,spin_glass,12,0.55,-36.0,2.666807674750939,161,20,-35.9,0.43588989435406733,-36.0,0.1,0.0,2.0,0.95,0.07674603174603174,0.11646825396825396,0.020833333333333332
8,3,bad,spin_glass_dense_12,spin_glass,12,0.55,-36.0,2.4762662147569774,242,20,-35.7,0.714142842854285,-36.0,0.3,0.0,2.0,0.85,0.08634920634920633,0.12916666666666668,0.04206349206349206
8,3,good,spin_glass_sparse_14,spin_glass,14,0.25,-34.0,2.666807674750939,161,20,-33.6,1.2000000000000002,-34.0,0.4,0.0,4.0,0.9,0.1816666666666667,0.31031746031746027,0.0875
8,3,bad,spin_glass_sparse_14,spin_glass,14,0.25,-34.0,2.4762662147569774,242,20,-33.8,0.8717797887081347,-34.0,0.2,0.0,4.0,0.95,0.23797619047619048,0.26249999999999996,0.11349206349206349
8,3,good,spin_glass_dense_14,spin_glass,14,0.5,-53.0,2.666807674750939,161,20,-50.6,4.8,-53.0,2.4,0.0,12.0,0.8,0.13753968253968255,0.21428571428571427,0.06190476190476192
8,3,bad,spin_glass_dense_14,spin_glass,14,0.5,-53.0,2.4762662147569774,242,20,-52.4,2.6153393661244047,-53.0,0.6,0.0,12.0,0.95,0.15492063492063493,0.16746031746031745,0.08571428571428572
8,3,good,spin_glass_sparse_16,spin_glass,16,0.22,-42.0,2.666807674750939,161,20,-41.6,0.7999999999999999,-42.0,0.4,0.0,2.0,0.8,0.18079365079365078,0.30813492063492065,0.07956349206349204
8,3,bad,spin_glass_sparse_16,spin_glass,16,0.22,-42.0,2.4762662147569774,242,20,-41.9,0.43588989435406733,-42.0,0.1,0.0,2.0,0.95,0.20972222222222228,0.2174603174603175,0.09682539682539683
8,3,good,spin_glass_dense_16,spin_glass,16,0.45,-68.0,2.666807674750939,161,20,-66.5,3.570714214271425,-68.0,1.5,0.0,10.0,0.85,0.07059523809523809,0.15515873015873016,0.019642857142857142
8,3,bad,spin_glass_dense_16,spin_glass,16,0.45,-68.0,2.4762662147569774,242,20,-67.0,3.0,-68.0,1.0,0.0,10.0,0.9,0.08015873015873017,0.11488095238095238,0.03154761904761905
8,3,good,max_cut_14,max_cut,14,0.35,-59.0,2.666807674750939,161,20,-59.0,0.0,-59.0,0.0,0.0,0.0,1.0,0.06373015873015872,0.146031746031746,0.006150793650793651
8,3,bad,max_cut_14,max_cut,14,0.35,-59.0,2.4762662147569774,242,20,-59.0,0.0,-59.0,0.0,0.0,0.0,1.0,0.08785714285714284,0.12400793650793648,0.027579365079365082
8,3,good,max_cut_16,max_cut,16,0.3,-67.0,2.666807674750939,161,20,-67.0,0.0,-67.0,0.0,0.0,0.0,1.0,0.09115079365079364,0.15714285714285714,0.0628968253968254
8,3,bad,max_cut_16,max_cut,16,0.3,-67.0,2.4762662147569774,242,20,-67.0,0.0,-67.0,0.0,0.0,0.0,1.0,0.10591269841269843,0.13432539682539682,0.0623015873015873
